html_num_tags('iframe'),html_num_tags('script'),html_num_tags('embed'),html_num_tags('object'),html_num_tags('div'),html_num_tags('head'),html_num_tags('body'),html_num_tags('form'),html_num_tags('a'),html_num_tags('small'),html_num_tags('span'),html_num_tags('input'),html_num_tags('applet'),html_num_tags('img'),html_num_tags('video'),html_num_tags('audio'),label
0,7,0,0,338,1,1,3,241,1,17,7,0,99,0,0,malicious
3,18,0,0,46,1,1,1,3,0,4,12,0,2,0,0,malicious
0,5,0,0,36,1,1,2,3,0,6,4,0,5,0,0,malicious
1,0,0,0,52,1,1,1,24,0,1,5,0,3,0,0,malicious
1,10,0,0,125,1,1,6,22,0,7,17,0,2,0,2,malicious
1,10,0,0,125,1,1,6,22,0,7,17,0,2,0,2,malicious
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,5,0,0,39,1,1,1,7,0,33,10,0,2,0,0,malicious
0,7,0,0,338,1,1,3,241,1,17,7,0,99,0,0,malicious
0,9,0,0,62,1,1,0,2,0,3,1,0,2,0,0,malicious
2,16,0,0,47,1,1,1,9,0,6,8,0,8,0,0,malicious
0,2,0,0,88,1,1,2,57,0,19,7,0,3,0,0,malicious
0,4,0,0,16,1,1,1,1,0,0,3,0,3,0,0,malicious
1,26,0,0,57,1,1,1,15,0,10,8,0,3,0,0,malicious
0,14,0,0,64,1,1,2,0,0,7,9,0,41,0,0,malicious
1,11,0,0,98,1,1,0,1,0,17,1,0,1,0,0,malicious
1,31,0,0,53,1,1,1,3,0,8,8,0,1,0,0,malicious
1,29,0,0,48,1,1,1,3,0,7,8,0,1,0,0,malicious
1,11,0,0,93,1,1,0,0,0,16,1,0,0,0,0,malicious
1,15,0,0,26,1,1,1,21,1,2,4,0,4,0,0,malicious
3,27,0,0,179,1,1,5,219,0,36,22,0,31,0,0,malicious
1,26,0,0,57,1,1,1,4,0,6,8,0,2,0,0,malicious
0,7,0,0,35,1,1,1,0,0,8,8,0,2,0,0,malicious
0,12,0,0,37,1,1,0,17,0,23,5,0,0,0,0,malicious
2,61,0,0,143,1,1,1,323,0,47,11,0,4,0,0,malicious
0,10,0,0,22,1,1,2,19,0,2,20,0,1,0,0,malicious
3,21,0,0,84,1,1,1,27,0,22,17,0,7,0,2,malicious
1,23,0,0,39,1,1,0,58,0,66,0,0,2,0,0,malicious
0,3,0,0,25,1,1,1,8,0,6,2,0,1,0,0,malicious
0,3,0,0,11,1,1,2,16,0,1,4,0,0,0,0,malicious
0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
0,2,0,0,41,1,1,1,16,0,0,8,0,4,0,0,malicious
0,1,0,0,2,1,1,1,0,0,0,3,0,1,0,0,malicious
1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,5,0,0,24,1,1,3,11,0,7,11,0,1,0,0,malicious
0,2,0,0,41,1,1,1,16,0,0,8,0,4,0,0,malicious
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
10,40,0,1,33,1,1,2,9,0,4,26,0,5,0,0,malicious
1,40,0,0,41,1,1,1,49,0,9,6,0,2,0,0,malicious
0,4,0,0,17,1,1,1,1,0,5,4,0,1,0,0,malicious
0,3,0,0,24,1,1,2,3,0,10,21,0,5,0,0,malicious
0,3,0,0,9,1,1,0,3,0,0,0,0,1,0,0,malicious
0,1,0,0,88,1,1,1,26,0,18,17,0,2,0,0,malicious
0,0,0,0,18,1,1,6,4,0,6,22,0,7,0,0,malicious
0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
0,2,0,0,28,1,1,1,73,0,6,1,0,2,0,0,malicious
0,2,0,0,41,1,1,1,16,0,0,8,0,4,0,0,malicious
0,2,0,0,46,1,1,1,19,0,1,13,0,4,0,0,malicious
0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
0,25,0,0,54,1,1,2,13,0,12,9,0,3,0,0,malicious
0,2,0,0,1,1,1,1,3,0,0,9,0,6,0,0,malicious
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,2,0,0,41,1,1,1,16,0,0,8,0,4,0,0,malicious
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,18,0,0,48,1,1,2,29,0,3,12,0,8,0,0,malicious
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,1,0,0,33,1,1,1,18,0,4,5,0,6,0,0,malicious
0,66,0,0,59,1,1,1,1,0,7,4,0,2,0,0,malicious
0,0,0,0,5,1,1,0,1,0,1,0,0,0,0,0,malicious
0,0,0,0,5,1,1,0,1,0,1,0,0,0,0,0,malicious
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,2,0,0,36,1,1,1,15,0,0,8,0,4,0,0,malicious
0,2,0,0,41,1,1,1,16,0,0,8,0,4,0,0,malicious
0,2,0,0,41,1,1,1,16,0,0,8,0,4,0,0,malicious
0,2,0,0,41,1,1,1,16,0,0,8,0,4,0,0,malicious
0,2,0,0,46,1,1,1,19,0,1,13,0,4,0,0,malicious
0,3,0,0,9,1,1,0,3,0,0,0,0,1,0,0,malicious
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
0,9,0,0,14,1,1,1,4,1,5,5,0,1,0,0,malicious
0,1,0,0,4,1,1,0,1,0,0,0,0,0,0,0,malicious
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,5,0,0,11,1,1,4,7,0,5,4,0,1,0,0,malicious
4,22,0,0,59,1,1,1,20,0,14,13,0,4,0,0,malicious
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,13,0,0,36,1,1,1,2,0,2,9,0,7,0,0,malicious
7,8,0,0,218,1,1,6,71,2,119,39,0,5,0,0,malicious
0,4,0,0,17,1,1,1,1,0,5,4,0,1,0,0,malicious
0,3,0,0,50,1,1,5,7,0,1,15,0,7,0,0,malicious
0,9,0,0,14,1,1,1,4,1,5,5,0,1,0,0,malicious
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
0,2,0,0,28,1,1,1,73,0,6,1,0,2,0,0,malicious
0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
