url_len,url_num_hyphens_dom,url_num_dom_token,url_path_len,url_filename_len,url_longest_dom_token_len,url_average_dom_token_len,url_domain_len,url_hostname_len,url_num_dots,url_num_underscores,url_num_equals,url_num_slashes,url_num_dash,url_num_semicolon,url_num_at,url_num_percent,url_num_plus,url_query_len,url_num_query_para,url_ip_present,url_entropy,url_count_consonants,url_num_digits,url_chinese_present,url_port,url_has_https,url_has_ip_address,url_num_subdomains,url_has_suspicious_words,url_length_category,url_has_port_in_url,url_num_special_chars,url_num_params,url_num_fragments,url_starts_with_www,url_is_shortened,url_has_email,html_num_tags('iframe'),html_num_tags('script'),html_num_tags('embed'),html_num_tags('object'),html_num_tags('div'),html_num_tags('head'),html_num_tags('body'),html_num_tags('form'),html_num_tags('a'),html_num_tags('small'),html_num_tags('span'),html_num_tags('input'),html_num_tags('applet'),html_num_tags('img'),html_num_tags('video'),html_num_tags('audio'),repu
30,0,2,1,0,18,10.5,22,22,1,0,0,3,0,0,0,0,0,0,0,0,4.028072996388509,15,0,0,80,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,41,1,1,1,16,0,0,8,0,4,0,0,malicious
32,0,2,1,0,21,11.5,24,24,1,0,0,3,0,0,0,0,0,0,0,0,4.179229296672175,18,0,0,80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,1,1,0,0,2,5,0,0,0,0,malicious
51,3,3,1,0,27,13.333333333333334,42,42,2,0,0,3,3,0,0,0,0,0,0,0,4.441170684726961,29,0,0,80,1,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,41,1,1,1,16,0,0,8,0,4,0,0,malicious
36,1,2,1,0,23,13.0,27,27,1,0,0,3,1,0,0,0,0,0,0,0,3.8638263900908156,20,0,0,80,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
95,0,2,23,10,7,4.5,10,10,2,0,0,4,1,0,0,0,0,53,1,0,5.269613045460718,70,0,0,80,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
42,3,3,1,0,23,10.333333333333334,33,33,2,0,0,3,3,0,0,0,0,0,0,0,4.186860506514696,21,0,0,80,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
46,1,3,10,9,20,8.666666666666666,28,28,3,0,0,3,1,0,0,0,0,0,0,0,4.479233694811192,29,0,0,80,1,0,1,1,0,0,1,0,0,1,1,0,0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
36,0,3,4,3,15,7.333333333333333,24,24,2,0,0,3,0,0,0,0,0,0,0,0,4.120635070586275,22,0,0,80,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,11,1,1,1,2,0,1,5,0,1,0,0,malicious
199,0,2,173,0,14,8.5,18,18,1,0,0,11,4,0,0,0,0,0,0,0,5.400233599135556,126,25,0,80,1,0,0,1,2,0,1,0,0,0,0,0,0,16,0,0,30,1,1,1,9,0,7,3,0,2,0,0,malicious
47,1,2,18,9,17,10.0,21,21,2,0,0,4,1,0,0,0,0,0,0,0,4.229808798348055,26,0,0,80,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
