url_len,url_num_hyphens_dom,url_num_dom_token,url_path_len,url_filename_len,url_longest_dom_token_len,url_average_dom_token_len,url_domain_len,url_hostname_len,url_num_dots,url_num_underscores,url_num_equals,url_num_slashes,url_num_dash,url_num_semicolon,url_num_at,url_num_percent,url_num_plus,url_query_len,url_num_query_para,url_ip_present,url_entropy,url_count_consonants,url_num_digits,url_chinese_present,url_port,url_has_https,url_has_ip_address,url_num_subdomains,url_has_suspicious_words,url_length_category,url_has_port_in_url,url_num_special_chars,url_num_params,url_num_fragments,url_starts_with_www,url_is_shortened,url_has_email,html_num_tags('iframe'),html_num_tags('script'),html_num_tags('embed'),html_num_tags('object'),html_num_tags('div'),html_num_tags('head'),html_num_tags('body'),html_num_tags('form'),html_num_tags('a'),html_num_tags('small'),html_num_tags('span'),html_num_tags('input'),html_num_tags('applet'),html_num_tags('img'),html_num_tags('video'),html_num_tags('audio'),repu
29,0,2,1,0,16,9.5,20,20,1,0,0,3,0,0,0,0,0,0,0,0,3.9783335811852636,17,0,0,80,1,0,0,0,0,0,1,0,0,0,0,0,0,49,0,0,339,1,1,1,23,0,57,1,0,9,0,0,benign
105,0,4,74,18,12,5.0,23,23,3,0,0,10,3,0,0,0,0,0,0,0,4.682203234339119,57,10,0,80,1,0,2,0,2,0,1,0,0,1,0,0,0,215,0,0,452,1,1,5,230,0,107,30,0,15,0,0,benign
28,1,3,1,0,11,5.666666666666667,19,19,2,0,0,3,1,0,0,0,0,0,0,0,3.896291529045928,17,0,0,80,1,0,1,0,0,0,1,0,0,1,0,0,0,29,0,0,130,1,1,1,42,1,15,10,0,38,2,0,benign
32,0,3,1,0,15,7.0,23,23,2,0,0,3,0,0,0,0,0,0,0,0,4.030639062229566,20,0,0,80,1,0,1,0,0,0,1,0,0,1,0,0,1,39,0,0,106,1,1,0,66,0,66,0,0,17,1,0,benign
73,0,3,48,0,9,5.0,17,17,2,0,0,4,7,0,0,0,0,0,0,0,4.509753286084206,43,2,0,80,1,0,1,1,1,0,1,0,0,1,0,0,1,21,0,0,32,1,1,3,106,0,48,4,0,66,0,0,benign
57,0,3,28,3,14,6.666666666666667,22,22,2,0,0,5,1,0,0,0,0,0,0,0,4.357220997700623,36,0,0,80,0,0,1,0,1,0,1,0,0,1,0,0,0,27,0,0,74,1,1,0,177,0,18,0,0,3,0,0,benign
54,0,2,30,0,12,7.5,16,16,1,0,0,5,2,0,0,0,0,0,0,0,3.815460540067162,27,0,0,80,1,0,0,0,1,0,1,0,0,0,0,0,2,44,0,0,88,1,1,2,208,0,127,5,0,19,0,0,benign
28,0,2,1,0,15,9.0,19,19,1,0,0,3,0,0,0,0,0,0,0,0,4.0836169753972325,16,0,0,80,1,0,0,0,0,0,1,0,0,0,0,0,1,56,0,0,321,1,1,12,423,0,66,21,0,57,0,0,benign
51,0,3,26,10,9,5.0,17,17,2,0,0,4,2,0,0,0,0,0,0,0,4.274695684811803,30,0,0,80,1,0,1,1,0,0,1,0,0,1,0,0,0,18,0,0,111,1,1,0,207,1,10,0,0,56,0,0,benign
23,0,3,1,0,6,4.0,14,14,2,0,0,3,0,0,0,0,0,0,0,0,3.8492239123906247,14,0,0,80,1,0,1,0,0,0,1,0,0,1,0,0,0,15,0,0,108,1,1,1,95,0,43,0,0,13,0,0,benign
60,0,3,34,0,10,5.333333333333333,18,18,2,0,0,6,1,0,0,0,0,0,0,0,4.317586488336998,36,0,0,80,1,0,1,0,1,0,1,0,0,1,0,0,1,11,0,0,22,1,1,0,165,0,7,0,0,2,0,0,benign
38,0,3,11,4,11,5.666666666666667,19,19,2,0,0,4,0,0,0,0,0,0,0,0,4.13569955274647,23,0,0,80,1,0,1,0,0,0,1,0,0,1,0,0,1,46,0,0,1403,1,1,7,333,0,348,25,0,14,0,0,benign
72,0,2,41,0,19,11.0,23,23,1,0,0,4,5,0,0,0,0,0,0,0,4.202098483158837,38,0,0,80,1,0,0,0,1,0,1,0,0,0,0,0,0,18,0,0,33,1,1,1,48,0,15,6,0,8,0,0,benign
77,0,3,58,0,3,3.0,11,11,2,0,0,7,2,0,0,0,0,0,0,0,3.986025043842324,47,0,0,80,1,0,1,0,2,0,1,0,0,1,0,0,2,13,0,0,113,1,1,3,90,0,28,33,0,21,0,0,benign
41,0,3,17,16,8,4.666666666666667,16,16,2,0,0,3,1,0,0,0,0,0,0,0,4.092325102644249,22,0,0,80,1,0,1,0,0,0,1,0,0,0,0,0,2,15,0,0,80,1,1,1,91,0,7,2,0,1,0,0,benign
66,0,3,35,22,9,7.0,23,23,2,0,0,5,1,0,0,0,0,0,0,0,4.415606908958946,35,4,0,80,1,0,1,0,1,0,1,0,0,0,0,0,3,27,0,0,98,1,1,0,113,0,102,3,0,20,0,0,benign
24,0,2,1,0,11,7.0,15,15,1,0,0,3,0,0,0,0,0,0,0,0,3.6368421881310113,13,0,0,80,1,0,0,0,0,0,1,0,0,0,0,0,1,34,0,0,233,1,1,0,47,0,73,0,0,25,0,0,benign
